employee_id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,Gender,education_level,ethnicity,diversity_flag,Position
E00029,FinServe,Finance,49,48,2,107986.1742,11295.34821,3,0.770780681,0.003328177,Non Binary,High School,Prefer not to say,Yes,Mid Level
E00030,FinServe,Customer Support,35,32,3,119108.6654,19921.34035,2,0.641422794,0,Female,PhD,Black or African American,No,Executive
E00031,EduSoft,Marketing,33,31,2,88736.54865,15927.7152,5,0.800813384,0.186184687,Transgender,PhD,Black or African American,No,Mid Level
E00032,FinServe,Customer Support,34,28,5,75299.8043,24792.91,1,0,0.491135983,Non Binary,High School,Prefer not to say,No,Mid Level
E00033,FinServe,Finance,37,31,6,110386.5503,23377.17434,1,0.381957602,0,Non Binary,Master's Degree,Hispanic or Latino,Yes,Senior
E00034,TechCorp,Sales,30,24,5,105486.2466,20334.50755,4,0.867581619,0.044299978,Transgender,Master's Degree,Black or African American,No,Mid Level
E00035,EduSoft,Engineering,34,30,4,91059.78921,13354.91817,3,0.637348097,0,Transgender,Associate Degree,Hispanic or Latino,No,Mid Level
E00036,RetailHub,Finance,39,39,1,108899.4727,23511.43509,2,0.466002511,0,Female,Associate Degree,Black or African American,Yes,Executive
E00037,EduSoft,Sales,39,37,2,57027.8944,23482.43983,1,0,0.779373204,Male,Bachelor's Degree,White,No,Executive
E00038,RetailHub,Customer Support,41,36,5,106403.8175,9265.654714,5,0.885257715,0.7067105,Transgender,Bachelor's Degree,Asian,No,Entry Level
E00039,TechCorp,Customer Support,42,34,7,98891.57784,9826.200491,4,0.579329205,0.458119972,Female,Associate Degree,Black or African American,Yes,Executive
E00040,HealthInc,Finance,30,25,5,91090.64693,16359.00336,2,0.080478756,0.503239309,Transgender,Bachelor's Degree,Asian,No,Senior
E00041,FinServe,Marketing,30,26,3,125833.2581,20269.54581,4,0.634263643,0.223942481,Transgender,High School,Other,No,Executive
E00042,TechCorp,Customer Support,34,24,9,79569.97917,13923.19438,3,0.358300321,0.856084405,Transgender,Master's Degree,Black or African American,Yes,Executive
E00043,FinServe,Marketing,30,29,2,93265.04394,24792.91,2,0.080290752,0.308759485,Transgender,Bachelor's Degree,White,No,Senior
E00044,HealthInc,Marketing,41,37,4,95463.68057,18854.90825,2,0,0.630736454,Transgender,Bachelor's Degree,Hispanic or Latino,No,Executive
E00045,HealthInc,Marketing,44,41,4,99278.13715,18677.43715,2,0.57184544,0.279768207,Female,High School,White,Yes,Executive
E00046,TechCorp,HR,46,43,4,66945.91375,22358.01358,1,0,0.31596132,Male,PhD,Asian,Yes,Mid Level
E00047,HealthInc,Sales,30,24,5,40000,23314.23139,2,0,0.634949892,Transgender,Associate Degree,Hispanic or Latino,Yes,Executive
E00048,RetailHub,Sales,30,22,8,110570.7121,22093.52199,1,0.392355513,0.055869655,Female,High School,White,Yes,Entry Level
E00049,HealthInc,Customer Support,30,22,5,88731.54539,24792.91,2,0.014426179,0.815081193,Female,PhD,White,Yes,Mid Level
E00050,FinServe,Customer Support,45,38,7,99422.48138,17636.98236,2,0.259337285,0.295434602,Female,High School,White,No,Mid Level
E00051,FinServe,Marketing,38,32,6,104722.8973,15127.34699,3,0.436768342,0.562507562,Non Binary,Master's Degree,Prefer not to say,Yes,Entry Level
E00052,FinServe,HR,30,22,9,92883.28914,18571.36743,2,0.866575639,0.824634005,Non Binary,High School,Hispanic or Latino,No,Entry Level
E00053,FinServe,Marketing,30,24,5,143174.7048,24792.91,1,0.826253783,0.258853247,Transgender,High School,White,No,Executive
E00054,RetailHub,HR,30,23,7,81701.16203,20680.57281,3,0.770345091,0.41755074,Female,Master's Degree,White,No,Senior
E00055,EduSoft,Marketing,44,42,2,124574.5962,21292.32532,1,0.505064274,0.375764767,Non Binary,Associate Degree,Asian,No,Executive
E00056,TechCorp,Engineering,31,27,5,70511.28919,24711.81563,1,0,0.842762442,Transgender,PhD,White,No,Mid Level
E00057,FinServe,Engineering,30,24,6,85925.90612,19284.87186,2,0.447235429,0.286772578,Female,Bachelor's Degree,White,Yes,Mid Level
E00058,HealthInc,Finance,30,22,8,90114.44964,18108.01338,2,0.672140193,0,Male,Associate Degree,Other,Yes,Mid Level
E00059,FinServe,Marketing,38,33,6,83250.19474,16171.56747,3,0.443959644,0,Female,High School,Hispanic or Latino,Yes,Mid Level
E00060,HealthInc,Customer Support,41,39,2,113894.2863,24792.91,1,0.700694442,0,Non Binary,Bachelor's Degree,Other,No,Senior
E00061,HealthInc,Sales,30,26,4,65175.27416,9000,5,0.593298785,0,Male,Master's Degree,Prefer not to say,No,Senior
E00062,FinServe,Finance,35,27,8,54272.33764,17672.84189,2,0,1,Male,Associate Degree,Asian,No,Mid Level
E00063,RetailHub,Customer Support,35,28,8,96180.03003,21368.78681,2,0.614698601,0.491024767,Transgender,PhD,Other,No,Executive
E00064,HealthInc,Engineering,47,43,4,72063.16185,16080.35712,3,0.376688656,0.221515872,Male,Associate Degree,Prefer not to say,No,Executive
E00065,HealthInc,Marketing,35,25,9,40000,9000,4,0.144761791,1,Male,Associate Degree,Black or African American,Yes,Entry Level
E00066,FinServe,Finance,35,30,6,109050.6766,9000,5,1,0.348233705,Transgender,Bachelor's Degree,Hispanic or Latino,No,Senior
E00067,HealthInc,Marketing,43,35,7,54285.08756,17816.50512,2,0,0.840239581,Female,Master's Degree,White,No,Executive
E00068,HealthInc,Engineering,34,31,3,108545.7946,24470.90042,2,0.549234709,0.351859357,Non Binary,Master's Degree,Other,Yes,Senior
E00069,FinServe,Finance,32,22,9,87123.77858,14463.21342,3,0.423014887,0.767645352,Male,Associate Degree,Other,Yes,Entry Level
E00070,FinServe,Engineering,46,40,6,107958.934,19917.73563,2,0.708719799,0,Non Binary,Master's Degree,White,No,Entry Level
E00071,TechCorp,HR,32,29,3,49619.96214,13928.65447,4,0.267629462,0.03369113,Male,Bachelor's Degree,White,No,Executive
E00072,RetailHub,Engineering,49,48,2,40000,23904.6499,2,0,0.824436132,Non Binary,Bachelor's Degree,Asian,No,Mid Level
E00073,RetailHub,Marketing,30,22,8,67869.00681,24792.91,1,0,0.955994206,Non Binary,PhD,Other,No,Executive
E00074,HealthInc,Sales,31,28,3,40000,11442.71691,4,0,0.466489036,Transgender,Master's Degree,Other,No,Mid Level
E00075,RetailHub,Engineering,37,32,5,100042.5528,24792.91,2,0.47569031,0.870945851,Male,PhD,Black or African American,No,Mid Level
E00076,HealthInc,Customer Support,44,45,1,108660.4719,13740.78168,3,0.476808904,0,Male,High School,Prefer not to say,Yes,Entry Level
E00077,TechCorp,Sales,37,29,8,40000,20436.49837,1,0,0.635521069,Male,Bachelor's Degree,Black or African American,No,Senior
E00078,FinServe,HR,31,23,8,106224.5724,24718.7401,1,0.103998636,0.391472056,Transgender,Associate Degree,Other,No,Entry Level
E00079,FinServe,Finance,37,30,8,88315.50716,14716.86395,3,0.289844136,0.733470685,Male,Bachelor's Degree,Black or African American,Yes,Senior
E00080,FinServe,Finance,33,30,3,91692.10916,21471.5932,2,0,0.489744959,Transgender,High School,Other,No,Entry Level
E00081,RetailHub,Sales,46,37,9,83395.08537,16596.98787,2,0.129605403,1,Male,Associate Degree,Hispanic or Latino,No,Senior
E00082,TechCorp,Finance,45,39,6,80287.19114,18719.92324,2,0.202710925,0.429936602,Female,Master's Degree,Asian,No,Entry Level
E00083,RetailHub,Engineering,34,27,7,94372.9971,24589.34408,1,0.247247076,0.77036503,Male,Master's Degree,Black or African American,No,Senior
E00084,RetailHub,Sales,46,43,3,126732.7597,18099.33817,2,0.269441955,0.354076344,Male,Bachelor's Degree,Other,No,Entry Level
E00085,TechCorp,Marketing,38,34,5,89259.27102,22863.8304,2,0.524070315,0.037413695,Female,Associate Degree,Black or African American,No,Entry Level
E00086,TechCorp,Engineering,38,41,1,69909.04331,16393.49628,4,0.15196819,0.006413831,Female,Associate Degree,Prefer not to say,No,Entry Level
E00087,TechCorp,Engineering,45,42,3,53854.8496,16312.80371,3,0.272896431,0,Transgender,PhD,Asian,No,Executive
E00088,TechCorp,Engineering,40,43,1,125982.203,10783.77979,4,0.740968554,0,Female,High School,Hispanic or Latino,No,Entry Level
E00089,FinServe,Marketing,37,38,1,72323.51262,15555.96838,5,0.534846505,0.113561438,Male,Master's Degree,White,No,Senior
E00090,EduSoft,HR,44,40,4,89256.73395,24792.91,1,0.201288417,0,Female,Bachelor's Degree,White,No,Senior
E00091,EduSoft,Customer Support,36,26,9,63082.79955,15230.41022,3,0.340469485,0.511709128,Non Binary,Associate Degree,Black or African American,No,Executive
E00092,TechCorp,Finance,47,46,1,107702.4093,12950.43401,3,0.311694995,0.29165693,Female,Master's Degree,Other,Yes,Executive
E00093,EduSoft,Sales,30,22,9,40000,13228.91579,4,0.050363107,1,Transgender,Bachelor's Degree,Prefer not to say,Yes,Senior
E00094,EduSoft,HR,31,22,9,58791.48418,19103.18077,3,0.138701962,0.803856607,Transgender,Master's Degree,Asian,No,Entry Level
E00095,TechCorp,Sales,42,46,1,115849.8528,22771.19889,2,0.470187035,0.018964248,Non Binary,Bachelor's Degree,Hispanic or Latino,No,Executive
E00096,EduSoft,Finance,38,27,9,81985.45504,13234.42556,1,0.072750882,1,Transgender,Master's Degree,Hispanic or Latino,No,Mid Level
E00097,RetailHub,Marketing,30,22,8,64401.31044,24792.91,3,0.238083109,1,Non Binary,PhD,Hispanic or Latino,No,Mid Level
E00098,HealthInc,Engineering,30,25,3,83281.79945,22011.54993,3,0.426560032,0.267140862,Transgender,High School,White,No,Mid Level
E00099,HealthInc,Engineering,39,37,2,128263.1089,15712.24018,3,0.833690484,0,Transgender,Master's Degree,Asian,No,Mid Level
E00100,TechCorp,Marketing,47,42,5,116901.8817,16349.89515,3,1,0,Female,High School,White,No,Entry Level
E00101,FinServe,HR,32,28,4,52767.48076,24792.91,1,0.08864743,0,Male,Master's Degree,Black or African American,No,Mid Level
E00102,TechCorp,HR,35,29,6,77884.99493,14744.60159,4,0.115901579,0.169635824,Non Binary,Associate Degree,Hispanic or Latino,No,Entry Level
E00103,FinServe,Sales,46,45,1,122757.9115,14999.44895,4,0.817547271,0.112025652,Non Binary,PhD,Asian,No,Executive
E00104,HealthInc,Marketing,37,34,3,88090.36254,18696.07197,2,0.494506989,0.294133225,Female,PhD,Hispanic or Latino,No,Executive
E00105,TechCorp,HR,44,38,6,82863.03796,16857.28275,2,0.285742275,0.908410987,Male,High School,White,No,Entry Level
E00106,RetailHub,Marketing,42,36,6,79480.58088,24792.91,1,0,0.861308058,Male,Associate Degree,White,No,Entry Level
E00107,EduSoft,Finance,31,27,4,74989.03586,24047.60713,1,0.178408539,0.140253984,Non Binary,Bachelor's Degree,White,Yes,Entry Level
E00108,FinServe,Engineering,39,30,8,61995.14571,18141.88077,2,0,0.409609018,Transgender,PhD,Hispanic or Latino,Yes,Executive
E00109,EduSoft,Engineering,45,42,3,46355.42126,15424.61863,2,0,0,Transgender,Associate Degree,Asian,No,Executive
E00110,EduSoft,Engineering,47,46,2,94987.44609,18295.86261,2,0.728636726,0,Female,Associate Degree,Asian,Yes,Executive
E00111,TechCorp,Marketing,38,39,1,40000,16295.1875,4,0,0,Transgender,High School,Black or African American,No,Entry Level
E00112,EduSoft,Marketing,36,31,5,83083.13054,10806.45182,4,0.587513196,0.054648111,Non Binary,Associate Degree,Hispanic or Latino,Yes,Mid Level
E00113,RetailHub,Sales,30,26,4,118386.7386,22937.66091,3,0.826781463,0.187188646,Non Binary,Associate Degree,Black or African American,No,Senior
E00114,EduSoft,Engineering,41,40,1,115033.5318,19230.31249,3,0.728381411,0,Male,Bachelor's Degree,Prefer not to say,Yes,Senior
E00115,TechCorp,Sales,36,35,1,88028.29873,16946.42978,3,0.380838471,0,Transgender,High School,Black or African American,Yes,Executive
E00116,RetailHub,Engineering,39,34,5,104176.4762,20691.27208,1,0.295067999,0.023550091,Transgender,High School,Black or African American,Yes,Entry Level
E00117,HealthInc,Sales,30,22,8,101312.0446,19295.4767,3,0.909389296,0.514323459,Male,Associate Degree,Black or African American,No,Senior
E00118,EduSoft,Sales,40,41,1,73130.19141,17463.72257,3,0,0.270243044,Female,Bachelor's Degree,White,No,Senior
E00119,TechCorp,Finance,35,34,2,76193.75467,17302.95275,5,0.298881103,1,Non Binary,Master's Degree,Prefer not to say,No,Executive
E00120,HealthInc,Sales,49,48,2,46321.27212,22585.60695,1,0,0.684806243,Female,PhD,Black or African American,No,Mid Level
E00121,HealthInc,Marketing,40,31,9,148934.5869,22207.12509,1,1,0.711889797,Female,High School,Asian,No,Mid Level
E00122,FinServe,Sales,41,34,7,63755.95035,20349.52462,1,0,0.990142111,Male,Bachelor's Degree,Black or African American,No,Mid Level
E00123,RetailHub,Engineering,39,32,7,66503.6822,9892.236279,5,0.595644262,0.645302916,Non Binary,Bachelor's Degree,White,No,Senior
E00124,EduSoft,Sales,31,22,8,125567.1067,21018.21287,2,0.993431928,0,Female,Associate Degree,Other,Yes,Executive
E00125,TechCorp,HR,49,48,1,114783.6985,24598.39314,1,0.679043163,0,Female,PhD,Prefer not to say,Yes,Executive
E00126,FinServe,Customer Support,49,48,1,87379.25338,17385.10912,2,0.000308922,0.211414768,Non Binary,High School,Other,No,Executive
E00127,RetailHub,Engineering,48,48,1,69363.73609,9000,5,0.132842002,0.260028066,Non Binary,Master's Degree,Other,Yes,Entry Level
E00128,FinServe,HR,38,37,1,40000,21440.71476,3,0,0.688122337,Male,Associate Degree,Prefer not to say,No,Senior
E00129,RetailHub,Engineering,30,22,9,90279.28895,12051.83618,4,0.647487493,0.473869452,Transgender,High School,Hispanic or Latino,No,Mid Level
E00130,RetailHub,Marketing,31,22,9,89853.59037,20998.6708,1,0.812088259,0.516653179,Female,High School,Asian,No,Entry Level
E00131,EduSoft,Customer Support,35,26,9,96590.35959,14872.40993,4,1,0.165018542,Male,Bachelor's Degree,White,Yes,Executive
E00132,RetailHub,Customer Support,30,22,9,48692.06956,20561.19221,2,0,1,Female,PhD,Prefer not to say,No,Senior
E00133,FinServe,Marketing,33,26,7,108144.3257,23062.35894,2,0.244585388,0.668292744,Female,Master's Degree,Other,No,Executive
E00134,RetailHub,Customer Support,42,44,1,97880.06192,24792.91,2,0,0.377547124,Female,PhD,White,No,Mid Level
E00135,EduSoft,Marketing,32,26,6,52049.62283,17338.55255,4,0,0.917688948,Transgender,Bachelor's Degree,White,No,Senior
E00136,EduSoft,HR,38,33,5,79103.84526,20788.31261,2,0,0.256127769,Non Binary,Master's Degree,Hispanic or Latino,Yes,Executive
E00137,FinServe,Finance,34,30,4,75574.39029,23809.62639,3,0.457804295,0.470028979,Female,Master's Degree,Other,No,Mid Level
E00138,HealthInc,Engineering,49,48,1,124974.8138,23699.70147,1,0.045861969,0.1189418,Non Binary,Associate Degree,Black or African American,No,Mid Level
E00139,HealthInc,Marketing,41,37,4,100690.5917,24792.91,1,0.630474744,0.347972483,Male,Master's Degree,White,Yes,Senior
E00140,RetailHub,Engineering,32,27,6,58747.21423,22170.11874,1,0,0.810557445,Female,High School,Other,Yes,Mid Level
E00141,TechCorp,HR,35,31,4,42584.45323,12983.3346,5,0.427656805,0,Female,PhD,White,No,Senior
E00142,RetailHub,Finance,30,24,5,73987.8233,22171.01204,2,0.258970335,0.093121516,Female,PhD,Hispanic or Latino,No,Mid Level
E00143,FinServe,HR,30,22,6,95776.39966,24792.91,1,0.241205956,0.161386234,Male,Associate Degree,Hispanic or Latino,No,Senior
E00144,FinServe,Customer Support,41,43,1,114098.7384,17456.932,3,0.880968199,0,Male,Master's Degree,Black or African American,Yes,Executive
E00145,FinServe,Engineering,49,48,2,96508.69389,11903.1654,4,0.391276597,0.184752596,Transgender,Bachelor's Degree,Hispanic or Latino,No,Mid Level
E00146,FinServe,Finance,41,40,1,86820.3456,14420.76796,4,0.406669708,0.073621499,Transgender,High School,Other,No,Mid Level
E00147,FinServe,Customer Support,44,41,2,54455.7164,17959.27835,3,0,0,Female,Associate Degree,Prefer not to say,No,Mid Level
E00148,EduSoft,Finance,30,22,9,141689.0274,24792.91,1,0.949353071,0.199434508,Non Binary,Master's Degree,Hispanic or Latino,No,Executive
E00149,HealthInc,Customer Support,31,26,5,66261.45404,24392.22048,1,0,0.223948918,Male,Bachelor's Degree,Prefer not to say,No,Mid Level
E00150,FinServe,HR,33,30,3,96427.10833,15078.35446,4,0.141363042,0.431693346,Transgender,Master's Degree,Black or African American,Yes,Mid Level
E00151,TechCorp,Marketing,42,34,8,107975.5955,17306.10723,2,0.765824953,0.088902762,Male,Associate Degree,Asian,No,Entry Level
E00152,TechCorp,Engineering,31,25,6,100850.9599,22282.21313,3,0.98532661,0.542700741,Transgender,Bachelor's Degree,White,No,Senior
E00153,TechCorp,Sales,32,26,6,55948.09587,24792.91,1,0.02120376,0.150207447,Female,Bachelor's Degree,White,No,Senior
E00154,TechCorp,Sales,35,30,5,61676.07759,21320.56106,2,0,0.804836157,Transgender,Bachelor's Degree,Other,No,Executive
E00155,EduSoft,HR,36,35,1,109606.8975,24382.79989,2,0.391710204,0,Transgender,Bachelor's Degree,Black or African American,No,Executive
E00156,TechCorp,Engineering,37,31,6,79060.35936,17827.39012,3,0.327998139,0.608815805,Transgender,Master's Degree,Black or African American,No,Entry Level
E00157,FinServe,Engineering,35,29,6,68514.62909,17617.72783,1,0.116679296,0.546693472,Non Binary,Bachelor's Degree,Black or African American,No,Entry Level
E00158,RetailHub,HR,40,38,3,59134.42024,17869.82565,2,0.037006391,0.408025334,Transgender,Master's Degree,White,Yes,Senior
E00159,TechCorp,Engineering,36,30,6,103238.1745,23587.40007,1,0.329714284,0,Non Binary,Bachelor's Degree,Hispanic or Latino,No,Executive
E00160,EduSoft,Marketing,39,28,9,94420.39628,21753.46661,1,0.387780417,1,Transgender,Bachelor's Degree,White,Yes,Mid Level
E00161,EduSoft,HR,42,42,1,91128.61963,21878.67411,3,0.064005088,0.222815582,Male,Associate Degree,White,No,Executive
E00162,TechCorp,Marketing,40,38,2,54495.635,15697.38245,3,0,0.234547607,Transgender,Master's Degree,White,Yes,Senior
E00163,RetailHub,Engineering,49,48,1,72357.11453,9010.376635,4,0,0.200598219,Female,Master's Degree,Hispanic or Latino,No,Executive
E00164,TechCorp,HR,35,28,6,99907.41885,14064.08643,3,0.399320694,0.681129501,Non Binary,PhD,Asian,No,Executive
E00165,EduSoft,Engineering,30,22,6,129076.7706,20071.69714,2,0.728282627,0.275768853,Non Binary,Associate Degree,Other,No,Entry Level
E00166,HealthInc,HR,47,48,1,71013.69712,12128.43949,4,0.432936911,0,Male,Master's Degree,Asian,Yes,Senior
E00167,FinServe,Engineering,43,39,4,40000,12430.44016,4,0,0.742616914,Female,Associate Degree,Asian,No,Mid Level
E00168,EduSoft,Marketing,37,39,1,40000,24792.91,3,0,0.377024674,Female,Associate Degree,White,No,Senior
E00169,TechCorp,Marketing,49,44,5,82294.74584,18188.11555,1,0.159510165,0.219634195,Non Binary,Associate Degree,Asian,Yes,Senior
E00170,FinServe,Engineering,43,39,5,80986.78528,12403.72574,4,0.338476034,0.427472883,Non Binary,High School,White,No,Entry Level
E00171,TechCorp,HR,30,22,8,110488.2594,24173.19364,1,0.411665347,0.500823742,Male,Master's Degree,White,No,Senior
E00172,TechCorp,Sales,38,32,6,89942.60826,16073.63724,2,0.511660847,0.25378363,Female,Associate Degree,Other,No,Entry Level
E00173,HealthInc,Marketing,40,35,5,40000,11252.22154,5,0.349910318,0,Non Binary,High School,Black or African American,No,Executive
E00174,FinServe,Marketing,44,36,7,48427.24625,18791.0058,3,0,1,Non Binary,High School,White,No,Entry Level
E00175,FinServe,Customer Support,34,25,9,88848.37716,11186.91917,5,0.45918791,1,Female,Bachelor's Degree,Asian,No,Mid Level
E00176,HealthInc,Sales,38,27,9,75301.57106,16056.18821,2,0.199486466,0.57820901,Transgender,Bachelor's Degree,Other,No,Senior
E00177,EduSoft,Engineering,30,24,7,42309.60646,17506.93609,3,0,0.402763018,Female,Master's Degree,Prefer not to say,Yes,Senior
E00178,TechCorp,HR,32,28,4,74356.23425,17685.38569,3,0,1,Male,Bachelor's Degree,Prefer not to say,Yes,Entry Level
E00179,RetailHub,Customer Support,46,43,3,57541.07874,16570.86919,2,0,0.342292557,Male,Master's Degree,Prefer not to say,No,Senior
E00180,TechCorp,Engineering,33,26,7,89072.31692,18206.04215,2,0.022564745,0.703321869,Non Binary,High School,Asian,No,Entry Level
E00181,TechCorp,Finance,31,26,5,74476.73274,21895.60813,1,0.155267151,0.23257474,Female,High School,Black or African American,Yes,Executive
E00182,EduSoft,Marketing,34,28,6,114491.9799,24792.91,1,0.467076179,0,Transgender,Master's Degree,Hispanic or Latino,No,Mid Level
E00183,TechCorp,Finance,33,26,8,119921.2397,21602.2247,2,1,0.571243215,Transgender,Bachelor's Degree,Black or African American,No,Entry Level
E00184,HealthInc,Marketing,41,40,1,92757.94805,13430.67672,4,0.48889707,0.36197309,Male,Bachelor's Degree,Other,Yes,Entry Level
E00185,HealthInc,Marketing,38,33,5,76778.93633,20208.18793,1,0.262341895,0.160925949,Female,Master's Degree,Black or African American,Yes,Executive
E00186,FinServe,Finance,49,48,1,128884.966,15568.75824,3,0.660123833,0,Non Binary,PhD,Prefer not to say,No,Executive
E00187,RetailHub,Finance,30,22,6,51335.59718,19387.70627,2,0,0.800315504,Transgender,Bachelor's Degree,Black or African American,No,Senior
E00188,TechCorp,Engineering,35,32,3,68270.20345,21260.57407,3,0.135287917,0.541921811,Female,Associate Degree,Other,No,Entry Level
E00189,TechCorp,Customer Support,39,35,4,106770.4952,22085.61601,1,0.57240779,0.845583946,Female,Bachelor's Degree,Other,No,Senior
E00190,EduSoft,Customer Support,30,22,7,49572.75893,22786.03105,3,0.40182496,0.538410465,Male,PhD,Prefer not to say,No,Executive
E00191,HealthInc,Finance,42,38,3,94201.00487,16249.19168,3,0.839766261,0,Male,High School,Asian,No,Entry Level
E00192,RetailHub,Engineering,42,39,3,61371.24762,19613.40699,2,0,0.461843601,Male,High School,White,Yes,Senior
E00193,FinServe,Customer Support,49,41,8,68914.44889,10372.20741,2,0,1,Non Binary,High School,Hispanic or Latino,No,Mid Level
E00194,HealthInc,Engineering,38,37,1,40000,22264.59955,3,0,0.563515012,Female,Bachelor's Degree,Hispanic or Latino,No,Entry Level
E00195,FinServe,Engineering,36,30,5,40000,9000,5,0,0.895880833,Female,High School,Prefer not to say,No,Entry Level
E00196,EduSoft,Marketing,38,35,3,146775.822,17785.71274,5,0.926501713,0.012361371,Transgender,PhD,Hispanic or Latino,No,Entry Level
E00197,EduSoft,Customer Support,49,48,1,106727.2198,15269.83964,4,0.921431389,0,Non Binary,PhD,Black or African American,Yes,Senior
E00198,TechCorp,Customer Support,33,28,5,40000,23990.37167,2,0,1,Non Binary,Bachelor's Degree,Other,No,Entry Level
E00199,RetailHub,Marketing,34,32,2,101044.5733,18105.84716,3,0.409134216,0.49296939,Female,Associate Degree,Other,No,Mid Level
E00200,FinServe,Finance,49,48,2,130611.4974,15424.00175,2,1,0,Male,Bachelor's Degree,Prefer not to say,No,Entry Level
E00201,HealthInc,Marketing,43,32,9,100092.0102,24792.91,1,0.259981417,0.94734205,Non Binary,High School,Other,Yes,Executive
E00202,EduSoft,Customer Support,30,22,4,84419.27524,21444.04045,2,0,0.370792604,Transgender,Bachelor's Degree,White,No,Mid Level
E00203,TechCorp,Customer Support,43,32,9,102554.8046,17775.28547,2,0.442451774,1,Female,PhD,Other,No,Mid Level
E00204,TechCorp,Finance,39,39,1,40000,14324.66509,5,0,0.864841719,Female,Bachelor's Degree,Other,Yes,Mid Level
E00205,FinServe,Marketing,49,48,1,68496.65485,14138.48963,4,0.274433519,0.224421404,Female,Bachelor's Degree,Black or African American,Yes,Senior
E00206,EduSoft,HR,40,38,3,87552.90585,22873.14011,1,0.295114866,0.289685513,Female,Associate Degree,Asian,No,Senior
